Age,Gender,Course,Year,Marital Status,Grade,How often have you felt down or hopeless?,"How often have you had trouble falling or staying asleep, or slept too much?",How often have you felt tired or had little energy?,"How often have you felt nervous, anxious, or on edge?",How often have you become easily annoyed or irritable?,How frequently do you experience panic attacks?,"On average, how many hours per day do you spend on social media?",How many alcoholic drinks/beer do you consume in a typical week?,How many hours of sleep do you usually get on a typical night?,How many hours a day do you put aside for studying?
18,Male,Computer Science ,Third Year,Single,First Class,Occasionally,Frequently,Occasionally,Almost constantly,Sometimes,Never,3-4 hours,0,7-8 hours,3-4 hours
26,Female,Sociology ,Fifth Year,Single,First Class,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Rarely,3-4 hours,0,5-6 hours,7 and above
23,Female,Microbiology ,Third Year,Single,First Class,Occasionally,Occasionally,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,1-2 hours
20,Female,Computer Engineering ,Fourth Year,Single,Second Class Upper,Occasionally,Almost constantly,Occasionally,Occasionally,Sometimes,Frequently,3-4 hours,0,Less than 5 hours,1-2 hours
20,Female,Nursing ,Second Year,Single,Second Class Lower,Occasionally,Almost constantly,Occasionally,Occasionally,Sometimes,Never,5-6 hours,0,5-6 hours,0
21,Female,Film Studies,Second Year,,Second Class Upper,Occasionally,Almost constantly,Almost constantly,Occasionally,Sometimes,Rarely,10 or more,0,7-8 hours,
20,Female,Teacher Training,Second Year,Single,First Class,Almost constantly,Frequently,Occasionally,Occasionally,Sometimes,Occasionally,9-10 hours,,7-8 hours,0
21,Female,Nutrition and dietetics ,Third Year,Single,Second Class Upper,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Rarely,3-4 hours,0,5-6 hours,1-2 hours
22,Male,Law,Second Year,Single,Second Class Upper,Almost constantly,Not at all?,Occasionally,Frequently,Sometimes,Rarely,5-6 hours,5 to 6,Less than 5 hours,3-4 hours
24,Female,Psychology,Fifth Year,Single,Second Class Upper,Occasionally,Not at all?,Occasionally,Almost constantly,Sometimes,Rarely,3-4 hours,0,5-6 hours,3-4 hours
43,Male,Mechanical engineering ,Post Graduate,,Pass,Occasionally,Not at all?,Occasionally,Frequently,Never,,5-6 hours,3 to 4,Less than 5 hours,3-4 hours
26,Female,Accounting ,Post Graduate,Single,Second Class Upper,Occasionally,Not at all?,Occasionally,Almost constantly,Sometimes,Rarely,5-6 hours,0,5-6 hours,0
17,Female,Law,Post Graduate,Single,Second Class Upper,Occasionally,Occasionally,Frequently,Occasionally,Sometimes,Never,0-2 hours,0,9 or more hours,0
25,Female,Computer science ,Third Year,Single,First Class,Occasionally,Frequently,Frequently,Occasionally,Sometimes,Occasionally,10 or more,0,5-6 hours,3-4 hours
16,Male,ux/ui design,Third Year,Single,Second Class Upper,Occasionally,Frequently,Occasionally,Frequently,Sometimes,Never,3-4 hours,0,5-6 hours,1-2 hours
